Адрес,Статус,Кол-во квартир,Застройщик,Кадастровый номер,Распроданность,Цена(м2)
"г Ярославль, район Фрунзенский, улица Пилотов, д. 7",Сдан,50,ООО А-СТРОЙ,,,
"г Ярославль, район Фрунзенский, улица Пилотов, д. 7",Сдан,60,ООО А-СТРОЙ,,,
"край Пермский, г Пермь, ул Адмирала Ушакова, д. 34",Проблемный,159,ООО А-ТЕХНОЛОГИ...,,,
"д Вартемяги, ул Колхозная",Строится,22,ООО А.Р.Т.,47:07:405002:70,88%,56 402
"п Коммунарка, д. 1, корпус 1.2",Сдан,99,ООО А101,,,
"п Коммунарка, д. 1, корпус 1.3",Сдан,270,ООО А101,,,
"п Коммунарка, д. 2, корпус 2,1",Сдан,273,ООО А101,,,
"п Коммунарка, д. 2, корпус 3",Сдан,75,ООО А101,,,
"п Коммунарка, д. 2, корпус 2.2",Сдан,213,ООО А101,,,
"г Москва, район Крюково, улица Радио",Сдан,126,ООО А101,,,
"п Коммунарка, д. 6",Сдан,115,ООО А101,,,
"п Коммунарка, д. 4",Сдан,123,ООО А101,,,
"п Коммунарка, д. 9, корпус 9.1",Сдан,60,ООО А101,,,
"п Коммунарка, д. 9, корпус 9.2",Сдан,210,ООО А101,,,
"п Коммунарка, д. 1, корпус 1.1",Сдан,184,ООО А101,,,
"г Москва, район Крюково, улица Радио",Сдан,126,ООО А101,,,
"п Коммунарка, д. 1",Сдан,123,ООО А101,,,
"п Коммунарка, д. 2",Сдан,123,ООО А101,,,
"п Коммунарка, д. 5",Сдан,115,ООО А101,,,
"п Коммунарка, корпус 19",Сдан,373,ООО А101,,,
"п Коммунарка, д. 3",Сдан,123,ООО А101,,,
"п Коммунарка, корпус 20",Сдан,325,ООО А101,,,
"п Коммунарка, корпус 21",Сдан,126,ООО А101,,,
"п Коммунарка, д. 15, корпус 15,2",Сдан,248,ООО А101,,,
"п Коммунарка, корпус 18",Сдан,656,ООО А101,,,
"п Коммунарка, д. 10, корпус 10.1",Сдан,210,ООО А101,,,
"п Коммунарка, д. 10, корпус 10.2",Сдан,127,ООО А101,,,
"п Коммунарка, д. 11",Сдан,117,ООО А101,,,
"п Коммунарка, д. 12",Сдан,796,ООО А101,,,
"п Коммунарка, д. 13",Сдан,456,ООО А101,,,
"п Коммунарка, д. 14",Сдан,432,ООО А101,,,
"п Коммунарка, д. 15, корпус 15,1",Сдан,240,ООО А101,,,
"п Коммунарка, д. 7",Сдан,115,ООО А101,,,
"п Коммунарка, д. 8",Сдан,230,ООО А101,,,
"п Коммунарка, д. 4, корпус 1",Сдан,322,ООО А101,,,
